,employer,rating_description,culture,leadership,compensation,opportunity,balance,industry,location,size,overall_rating,ceo_approval,num_votes,main industry
122,Stanford University,Very Satisfied,4,3.6,3.6,3.9,3.8,Colleges & Universities,CA,752,4.2,94,353,Education
123,University of Michigan,Very Satisfied,4,3.6,3.8,3.8,4,Colleges & Universities,MI,750,4.1,89,389,Education
124,Nationwide,Satisfied,3.8,3.2,3.4,3.3,3.6,Insurance Carriers,OH,739,3.6,85,362,Finance
125,Cerner,Satisfied,3.6,3.2,3.4,3.7,3,Computer Hardware & Software,MO,734,3.5,78,460,IT
126,Advance Auto Parts,OK,2.8,2.3,2.6,2.8,2.7,"Department, Clothing, & Shoe Stores",WV,733,2.8,46,431,Retail
127,Vanguard,OK,3.7,3.2,3,3,3.8,Investment Banking & Asset Management,AZ,729,3.3,88,441,Finance
128,LexisNexis Legal & Professional,OK,2.8,2.2,3.2,2.5,3.3,Consulting,WA,718,2.7,38,206,Service
129,Epic Systems Corporation,Satisfied,3.6,3.1,4.2,3.4,2.8,Computer Hardware & Software,WI,717,3.5,75,536,IT
130,Cintas,OK,3.5,3,3.5,3.4,2.9,Building & Personnel Services,NC,716,3.3,83,426,Service
131,ARAMARK,OK,2.9,2.6,3,3,3.1,Building & Personnel Services,TX,715,2.9,68,202,Service
132,United Airlines,OK,2.8,2.5,3.3,3,3.2,Airlines,TX,710,3.1,43,337,Logistics
133,FedEx Office,OK,2.8,2.4,3,2.9,2.7,Business Service Centers & Copy Shops,IL,702,2.9,53,420,Service
134,ExxonMobil,Satisfied,3.4,3.3,4,3.6,3.3,Oil & Gas Exploration & Production,VA,702,3.7,89,252,Manufacture
135,Express,OK,3.2,2.9,2.4,2.9,2.9,"Department, Clothing, & Shoe Stores",MN,701,3.1,81,288,Retail
136,Amgen,Satisfied,3.2,2.7,4.1,2.8,3.4,Biotech & Pharmaceuticals,CO,700,3.5,56,231,Health
137,University of Phoenix,OK,2.8,2.3,3,2.2,3.3,Colleges & Universities,AZ,699,2.8,53,391,Education
138,Taco Bell,OK,3,2.7,2.6,3,2.9,Fast-Food & Quick-Service Restaurants,CA,695,3.1,65,286,Service
139,Wendy's,OK,3.1,2.8,2.4,2.9,3,Fast-Food & Quick-Service Restaurants,OH,694,3,63,198,Service
140,American Airlines,OK,3.1,2.7,3,3.1,3.1,Airlines,CA,690,3.2,74,56,Logistics
141,University of California Berkeley,Satisfied,4,3.4,3.4,3.6,3.8,Colleges & Universities,CA,689,3.9,88,81,Education
142,Mercer,OK,3.1,2.7,2.9,2.9,3,Consulting,MA,685,3.1,83,191,Service
143,Chevron,Very Satisfied,4.2,3.7,4.1,3.8,4.1,Oil & Gas Exploration & Production,CA,683,4.1,96,367,Manufacture
144,Trader Joe's,OK,3.6,2.9,3.5,2.9,3.1,Food & Beverage Stores,CA,682,3.4,53,431,Retail
145,Goodwill,OK,3.1,2.6,2.8,2.9,3.2,Social Assistance,AZ,681,3,63,163,Service
146,Paychex,Satisfied,3.8,3.5,3.4,3.6,3.7,Staffing & Outsourcing,NY,677,3.6,88,297,Service
147,CDW,Satisfied,4.1,3.7,3.4,3.7,4,Enterprise Software & Network Solutions,FL,672,3.9,92,295,IT
148,Prudential,OK,3.4,3.1,3.3,3.2,3.6,Insurance Carriers,NJ,671,3.4,84,352,Finance
149,BlackRock,OK,3.4,3.2,3.3,3.2,3.1,Investment Banking & Asset Management,NY,667,3.3,88,474,Finance
150,Kraft Foods,OK,3.1,2.8,3.6,3.1,3.2,Food & Beverage Manufacturing,IL,667,3.3,71,134,Retail
151,Family Dollar Stores,Dissatisfied,2.3,2.2,2.4,2.7,2.1,"Department, Clothing, & Shoe Stores",AL,664,2.3,37,365,Retail
152,ADT Security Services,OK,2.6,2.2,2.9,2.4,2.5,Security Services,FL,663,2.5,47,229,Finance
153,Vector Marketing,OK,3.6,3.5,3.1,3.7,3.3,Advertising & Marketing,TN,656,3.4,88,191,Advertising
154,J. Crew,Satisfied,3.8,3.5,3.3,3.1,3.5,"Department, Clothing, & Shoe Stores",CA,655,3.7,91,432,Retail
155,Rockwell Collins,OK,3.2,2.7,3.3,2.9,3.4,Aerospace & Defense,IA,654,3.2,89,122,Manufacture
156,Sephora,Satisfied,3.9,3.2,3.3,3.3,3.3,Beauty & Personal Accessories Stores,CA,652,3.6,97,88,Retail
157,Electronic Data Systems,OK,3.2,2.6,2.9,2.8,3,IT Services,NY,649,3,0,0,IT
158,TeleTech,OK,2.8,2.5,2.7,2.8,2.9,Staffing & Outsourcing,KY,649,2.9,55,328,Service
159,Halliburton,OK,3.2,2.8,3.5,3.4,3,Oil & Gas Services,TX,648,3.4,84,352,Service
160,National Instruments,Satisfied,4.1,3.3,2.7,3.3,4.2,Electrical & Electronic Manufacturing,TX,647,3.7,87,499,Manufacture
161,Visa Inc.,OK,2.8,2.5,3.8,2.8,3.3,IT Services,CA,647,3,57,220,IT
162,Meijer,OK,2.9,2.4,2.6,2.7,2.9,Grocery Stores & Supermarkets,OH,643,2.8,62,377,Retail
163,3M,Satisfied,3.8,3.2,3.7,3.5,3.7,Chemical Manufacturing,MN,642,3.8,91,225,Manufacture
164,H&M,OK,3.8,2.8,3.5,3.4,3.1,"Department, Clothing, & Shoe Stores",NY,638,3.4,85,264,Retail
165,Delta Air Lines,Satisfied,4,3.4,3.6,3.5,3.5,Airlines,NY,635,3.9,89,343,Logistics
166,Teleperformance,OK,2.5,2.3,2.2,2.6,2.6,Advertising & Marketing,UT,630,2.5,43,223,Advertising
167,TJ Maxx,OK,3.2,2.9,2.4,2.7,3.2,"Department, Clothing, & Shoe Stores",WA,629,3.1,62,229,Retail
168,University of Washington,Satisfied,3.7,3.3,3.4,3.3,3.8,Colleges & Universities,WA,623,3.8,70,124,Education
169,General Mills,Satisfied,3.6,3.1,3.7,3.2,3.7,Food & Beverage Manufacturing,MO,623,3.6,75,466,Retail
170,Bain & Company,Very Satisfied,4.7,4.4,4.5,4.6,3.7,Consulting,IL,622,4.7,99,246,Service
171,Avon Products,OK,3.4,2.4,3.1,2.9,3.3,Consumer Products Manufacturing,MI,622,3,55,147,Manufacture
172,Abbott Labs,Satisfied,3.2,2.9,3.8,3.1,3.3,Biotech & Pharmaceuticals,IL,621,3.5,73,383,Health
173,US Census Bureau,Satisfied,3.6,3.3,3.6,2.9,4,Federal Agencies,CA,620,3.8,82,69,Government
174,GE Capital,Satisfied,3.8,3.2,3.4,3.5,3.7,Investment Banking & Asset Management,IA,618,3.5,91,84,Finance
175,Pier 1 Imports,OK,3.3,2.9,2.6,2.7,3.2,Home Furniture & Housewares Stores,NC,608,3.1,73,323,Retail
176,University of Southern California,Very Satisfied,3.9,3.6,3.6,3.6,4,Colleges & Universities,CA,607,4.1,89,243,Education
177,IKEA,Satisfied,3.8,3,3.5,3.3,3.5,"Department, Clothing, & Shoe Stores",NJ,604,3.5,87,146,Retail
178,FedEx Ground,OK,3.3,3.1,3.2,3.2,3,Logistics & Supply Chain,CA,602,3.4,80,97,Logistics
179,Applied Materials,OK,3.1,2.8,3.6,3.1,3.1,Electrical & Electronic Manufacturing,TX,599,3.4,82,89,Manufacture
180,Fifth Third,OK,3.3,2.8,3.3,3.1,3.3,Investment Banking & Asset Management,FL,594,3.2,78,269,Finance
181,Manpower,OK,3,2.9,2.9,2.9,3.3,Staffing & Outsourcing,MO,591,3.2,77,45,Service
182,NBCUniversal,Satisfied,3.9,3.4,3.5,3.4,3.7,TV Broadcast & Cable Networks,NY,590,3.9,97,221,Media
183,AMC Entertainment,OK,3.1,2.9,2.3,2.8,3,Movie Theaters,PA,588,3.1,58,236,Entertainment
184,UCLA,Satisfied,3.8,3.4,3.5,3.6,3.9,Colleges & Universities,CA,583,3.9,76,178,Education
185,Securitas Security Services USA,OK,2.4,2.2,2.2,2.4,2.7,Advertising & Marketing,WA,580,2.6,48,240,Advertising
186,Urban Outfitters,OK,3.6,2.9,2.9,3,3.1,"Department, Clothing, & Shoe Stores",MA,578,3.2,48,178,Retail
187,Wolters Kluwer,OK,2.7,2.4,3.2,2.6,3.4,Motion Picture Production & Distribution,TN,577,2.9,62,153,Media
188,Harris,OK,2.6,2,2.7,2.4,3,"Cable, Internet & Telephone Providers",FL,576,2.6,21,188,IT
189,Cigna,OK,3.2,3.1,3.2,3.2,3.2,Health Care Services & Hospitals,CT,576,3.3,86,295,Health
