,employer,rating_description,culture,leadership,compensation,opportunity,balance,industry,location,size,overall_rating,ceo_approval,num_votes,main industry
5131,Mattersight,OK,3.2,2.3,3,3.4,3.7,IT Services,IL,25,3,53,9,IT
5132,Salt Lake Community College,Satisfied,3.2,2.9,3,2.6,3.8,Colleges & Universities,UT,25,3.5,80,9,Education
5133,We Energies,Satisfied,3.6,3.1,3.8,3.3,3.8,Utilities,WI,25,3.5,75,15,Utilities
5134,BOK Financial,OK,2.1,2.9,2.9,2.9,2.9,Banks & Credit Unions,CO,25,3.1,87,8,Finance
5135,SmartZip Analytics,Satisfied,3.7,3.7,3.3,3.8,4,Computer Hardware & Software,CA,25,4,79,17,IT
5136,Mercy College,OK,3.2,2.9,2.3,3.3,3.1,Colleges & Universities,NY,25,3.3,100,2,Education
5137,Comprehensive Health Services,OK,2.4,2.2,3.1,2.4,3.2,Health Care Services & Hospitals,VA,25,2.6,40,17,Health
5138,Childtime Learning Center,OK,2.9,2.6,2.1,2.6,2.8,Preschool & Child Care,MI,25,2.9,68,7,Service
5139,Jefferson County (Colorado),OK,2.6,2.4,2.8,2.6,3.4,Federal Agencies,CO,25,2.9,66,6,Government
5140,Titus Group,Very Satisfied,4.9,3.9,3.9,3.7,4.3,Consulting,WI,25,4.2,90,20,Service
5141,Colibrium,Satisfied,3.5,3.1,4.1,3.3,3.4,Accounting,GA,25,3.5,69,17,Accounting
5142,Fulbright & Jaworski,Satisfied,3.7,3.4,3.5,3.3,3.7,Legal,NY,25,3.8,54,2,Others
5143,Unitrin,OK,3.2,2.5,3.3,2.8,3.5,Insurance Carriers,PA,25,3,48,13,Finance
5144,Vitran Express,Dissatisfied,2.4,2.4,2.2,2,2.7,Trucking,TX,25,2.4,53,10,Logistics
5145,Adaptable Business Concepts,Very Satisfied,4,4.2,3.6,4.1,3.3,Advertising & Marketing,PA,25,4.2,88,23,Advertising
5146,Community Care College,Very Satisfied,4.7,4.4,4.2,4.1,4.4,Colleges & Universities,OK,25,4.5,85,13,Education
5147,Nektar Therapeutics,OK,3.5,3,3.9,2.9,3.3,Biotech & Pharmaceuticals,AL,25,3.2,67,19,Health
5148,NORDAM,Satisfied,3.5,3,3.5,3.1,3.7,Commercial Equipment Repair & Maintenance,OK,25,3.7,86,8,Service
5149,Taco John's International,OK,2.9,3.2,2.7,2.8,3.2,Fast-Food & Quick-Service Restaurants,MN,25,3.2,50,2,Service
5150,Jacksons Food Stores,Dissatisfied,2.2,1.8,2.7,2.6,2,Convenience Stores & Truck Stops,OR,25,1.8,52,13,Retail
5151,Swiss Post Solutions,OK,2.2,2.4,2.2,2.1,2.6,IT Services,NY,25,2.5,16,4,IT
5152,Barcodes Inc,OK,3.5,3,3.1,2.9,3.6,Computer Hardware & Software,IL,25,3.1,91,9,IT
5153,Phoenix Marketing Solutions,Dissatisfied,2.2,1.9,2.1,2,2.2,Biotech & Pharmaceuticals,NJ,25,2,45,18,Health
5154,Brandwatch,Very Satisfied,4.8,4.4,4.1,4.7,4,Enterprise Software & Network Solutions,NY,24,4.7,100,20,IT
5155,BBDO Atlanta,OK,2.8,2.2,2.4,2.8,2.8,Advertising & Marketing,GA,24,2.7,54,2,Advertising
5156,Nalco Energy Services,Satisfied,3.9,3.3,3.6,3.3,3.8,Chemical Manufacturing,TX,24,3.6,85,17,Manufacture
5157,Certified Laboratories,OK,3.4,3.1,3.2,3.2,3.2,Biotech & Pharmaceuticals,CA,24,3.1,72,9,Health
5158,Lifestyle Family Fitness,Satisfied,4.1,3.4,2.9,3,3.7,"Health, Beauty, & Fitness",FL,24,3.5,100,5,Service
5159,Schulte Roth & Zabel,OK,2.7,2.4,3.9,2.7,2.6,Legal,NY,24,2.7,51,6,Others
5160,Meineke,OK,3.3,2.9,3,2.8,3.1,Auto Repair & Maintenance,FL,24,2.9,67,13,Service
5161,Asure Software,OK,2.8,2.6,2.8,2.8,3.2,Computer Hardware & Software,TX,24,3,45,15,IT
5162,AnswerNet,Dissatisfied,2.8,2.3,1.6,2,2.5,Advertising & Marketing,NV,24,2.4,43,16,Advertising
5163,Yamaha Motor U.S.A.,OK,3.6,2.7,3.4,2.9,3.5,Transportation Equipment Manufacturing,GA,24,3.4,75,4,Manufacture
5164,Wyse Technology,OK,2.6,2.3,2.6,2.6,3.1,Computer Hardware & Software,CA,24,2.6,0,0,IT
5165,Swipely,Very Satisfied,4.6,4.6,4.3,4.1,4,Internet,RI,24,4.5,100,22,IT
5166,iMagicLab,Satisfied,4,3.6,3.9,3.7,4,Computer Hardware & Software,MD,24,3.7,69,10,IT
5167,Washington State Department of Social and Health Services,OK,2.9,2.5,3.4,2.7,3.1,State & Regional Agencies,WA,24,2.9,25,4,Service
5168,Bit9 + Carbon Black,Very Satisfied,4.4,4.3,4.1,4.1,3.9,Computer Hardware & Software,MA,24,4.3,100,18,IT
5169,Chicago Office Technology Group,OK,3.1,2.8,4.1,3.1,3.8,IT Services,IL,24,3.1,64,8,IT
5170,Enterprise Integration,Satisfied,3.6,3.4,3.4,3.7,3.1,IT Services,FL,24,3.5,70,19,IT
5171,TerraCycle,Satisfied,4.4,4.2,2.2,3.3,4.2,General Merchandise & Superstores,NJ,24,3.9,97,18,Retail
5172,Zocalo Group,Very Satisfied,4.5,4,3.7,4,4.1,Advertising & Marketing,IL,24,4.2,81,22,Advertising
5173,FirstLook and MAX Systems,OK,2.8,2.7,3.4,2.8,2.9,Computer Hardware & Software,IL,24,2.9,50,2,IT
5174,PartsSource,OK,2.7,2.6,2.6,2.8,2.9,Wholesale,OH,24,2.8,78,8,Retail
5175,Bayer Business Services,OK,2.9,2.2,3.6,2.8,3.5,Advertising & Marketing,PA,24,2.7,46,6,Advertising
5176,Atlantic Records,OK,3.1,3.4,2.1,2.9,2.8,Music Production & Distribution,NY,24,3.4,100,11,Media
5177,Cloud 10 Corporation,OK,2.7,2.3,2.2,2.3,3.3,Consulting,LA,24,2.7,56,9,Service
5178,HealthNow New York,OK,3,2.5,3,2.9,3.7,Insurance Carriers,NY,24,3.1,50,2,Finance
5179,Franklin American,OK,3,2.8,2.7,3,3.1,Lending,TX,24,3.4,91,17,Finance
5180,Clari,Very Satisfied,5,4.9,4.5,4.9,4.5,Computer Hardware & Software,CA,24,4.9,100,22,IT
5181,Corcoran Group,Satisfied,4.2,3.9,2.9,3.7,3.9,Real Estate,NY,24,3.8,92,17,Real Estate
5182,Electric Insurance,OK,2.8,2.8,2.5,2.6,2.7,Insurance Carriers,MA,24,2.9,0,0,Finance
5183,ICU Medical,OK,3.6,2.4,3.6,3.2,3.5,Health Care Products Manufacturing,UT,24,3,68,3,Health
5184,Minuteman Press,OK,2.9,3,2.4,2.6,3.4,Business Service Centers & Copy Shops,IL,24,3.4,53,10,Service
5185,Walser,OK,3.3,2.7,2.8,3.3,2.9,Vehicle Dealers,MN,24,3.1,55,9,Retail
5186,BankAtlantic,OK,3,2.6,3,2.8,3.2,Banks & Credit Unions,FL,24,3.2,39,16,Finance
5187,Automic Software,OK,3.4,2.4,3.5,2.9,3.5,Computer Hardware & Software,WA,24,2.8,19,6,IT
5188,INTL FCStone,OK,3.5,3.6,3,3.6,3.4,Brokerage Services,NY,24,3.2,94,10,Service
5189,The College Network,OK,3.5,3.2,3.3,3.2,3.6,Colleges & Universities,MI,24,3.4,70,19,Education
5190,The Newport Group,OK,2.7,2.6,3.5,2.5,3.1,Investment Banking & Asset Management,FL,24,2.7,52,8,Finance
5191,Blount International,OK,3.2,2.4,3.9,2.8,2.8,Consumer Products Manufacturing,OR,24,3,55,17,Manufacture
5192,Nypro,OK,3.1,2.4,2.9,2.6,3.4,Industrial Manufacturing,MA,24,3.2,0,1,Manufacture
5193,Healthtrax,OK,3.4,2.9,2.7,2.7,3.3,Health Care Services & Hospitals,CT,24,3.1,61,15,Health
5194,Biomerieux USA,OK,3.6,2.9,4,2.9,3,Biotech & Pharmaceuticals,NC,24,3,62,3,Health
5195,The Hillman Group,OK,3.6,2.1,3.2,2.5,3.3,Consumer Products Manufacturing,UT,24,3.1,45,2,Manufacture
5196,"Global Marketing Concepts (Columbia, MD)",Satisfied,4,4.1,3.4,4.2,3.2,Accounting,MD,24,4,88,18,Accounting
5197,Alexian Brothers Health System,OK,3.3,2.7,3,2.7,2.8,Health Care Services & Hospitals,MO,24,3.2,69,10,Health
5198,Atrium Staffing,Satisfied,3.6,3.3,3.1,3.2,3.4,Staffing & Outsourcing,CA,24,3.5,80,15,Service
5199,uShip.com,Satisfied,4.5,3.4,3.3,3.5,4.4,Shipping,TX,24,4,84,17,Logistics
5200,Continuum Managed Services,Very Satisfied,3.8,4.1,4,3.7,4,IT Services,MA,24,4.1,88,23,IT
5201,Kepler Group,Very Satisfied,4.6,4.7,4.2,4.8,4.3,Advertising & Marketing,NY,24,4.9,100,24,Advertising
5202,Professional Staffing Group,Satisfied,3.8,3.8,3.1,3.7,3,Building & Personnel Services,MA,24,3.8,94,11,Service
5203,BMC,OK,3.1,2.8,3.1,2.9,3.5,Home Centers & Hardware Stores,CA,24,3.3,77,12,IT
5204,Scientific Drilling,Satisfied,3.2,3.3,3.6,3.2,3.4,Oil & Gas Exploration & Production,WY,24,3.5,80,9,Manufacture
5205,Zenith Insurance,OK,3.3,2.4,3.3,2.4,2.8,Insurance Carriers,IL,24,3.2,91,8,Finance
5206,Trimedx,OK,3.2,2.6,3.1,2.9,3.2,Health Care Services & Hospitals,CA,24,3.2,75,14,Health
5207,ExamWorks,OK,2.1,2.1,2.8,2.5,2.4,Health Care Services & Hospitals,NY,24,2.5,62,8,Health
5208,"City of Cleveland, Ohio",Satisfied,3.3,3.1,4,3.2,4.2,Municipal Governments,OH,24,3.6,100,9,Government
5209,AAMCO,OK,3.2,3.2,3.1,3.2,3.4,Auto Repair & Maintenance,CA,24,3.4,79,9,Service
5210,PharmaNet,OK,2.7,2.7,3.2,2.7,3.2,Biotech & Pharmaceuticals,NJ,24,2.9,46,8,Health
5211,Integrated Asset Services,Dissatisfied,1.6,1.8,2.5,2,2.8,Real Estate,TX,24,1.8,19,12,Real Estate
5212,Storm8,Very Satisfied,4.4,3.9,4.5,4.2,4.3,Computer Hardware & Software,CA,24,4.4,84,9,IT
5213,St.Vincent Health,OK,3.5,2.6,3.6,2.9,3.1,Health Care Services & Hospitals,AL,24,3.1,56,7,Health
5214,Metal Sales Manufacturing,Dissatisfied,2,2.1,2.1,2.1,2.4,Miscellaneous Manufacturing,PA,24,2.3,78,2,Manufacture
5215,Phonak,OK,3.2,2.4,3.6,2.6,2.9,Health Care Products Manufacturing,IL,24,2.8,49,5,Health
5216,OneBlood,Dissatisfied,1.6,1.6,2.8,1.8,1.3,Social Assistance,FL,24,1.6,0,12,Service
5217,OutboundEngine,Very Satisfied,4.6,4.5,4.6,4.3,4.1,Advertising & Marketing,TX,24,4.5,100,9,Advertising
5218,Nisum Technologies,OK,2.9,2.4,3.1,2.8,2.9,Computer Hardware & Software,CA,24,3,78,14,IT
5219,Utiliquest,OK,2,1.9,2.4,2.4,1.9,Utilities,CA,24,2.5,36,12,Utilities
5220,American HomePatient,OK,2.8,2.5,2.7,2.5,3,Health Care Services & Hospitals,GA,24,2.8,37,13,Health
5221,Arco AmPm,OK,2,2.5,2.4,2.2,3.1,Convenience Stores & Truck Stops,AZ,24,2.8,32,3,Retail
5222,EMMES Corporation,OK,3.3,3.1,2.8,2.6,3.7,Biotech & Pharmaceuticals,MD,24,3.1,66,6,Health
5223,Softmart,Satisfied,4.1,3.8,3.7,3.7,4.1,Computer Hardware & Software,PA,24,3.8,80,22,IT
5224,Boise Cascade,OK,3.1,2.7,3.5,2.5,2.9,Wholesale,MA,24,3.2,59,5,Retail
5225,Trident Microsystems,OK,3.4,2.4,3.2,2.6,3.5,Electrical & Electronic Manufacturing,TX,24,2.8,49,4,Manufacture
5226,Asset Campus Housing,Satisfied,3.5,3.4,3.5,3.7,3.7,Construction,NC,24,3.9,82,9,Real Estate
5227,EOS CCA,OK,2.6,2.6,2.9,2.6,2.7,Investment Banking & Asset Management,NY,24,2.5,48,14,Finance
5228,ValueClick Media,OK,3.1,2.8,2.9,2.7,3.2,Advertising & Marketing,CA,24,2.8,57,11,Advertising
5229,Interior Architects,OK,3.3,2.6,3.4,3.3,3,Architectural & Engineering Services,TX,24,3,49,10,Service
5230,TopGolf,OK,3.3,2.5,2.7,3.3,2.7,Sports & Recreation,TX,24,3.1,100,4,Entertainment
5231,Commonwealth Edison,Satisfied,3.6,2.9,4.1,3.4,2.9,Utilities,IL,24,3.6,100,9,Utilities
5232,hawkeye,OK,3.2,2.5,3.3,2.8,3.4,Advertising & Marketing,WA,24,2.9,65,5,Advertising
5233,Software Advice,Satisfied,4.3,4.3,4.6,4.2,3.2,Computer Hardware & Software,TX,24,4,88,19,IT
5234,Payscape Advisors,Very Satisfied,4.6,4.3,4,4.2,4.7,Financial Transaction Processing,GA,24,4.5,100,11,Finance
5235,Penzeys Spices,OK,3.1,3,2.3,1.9,3.9,Vehicle Dealers,TX,24,3.1,59,14,Retail
5236,Zenefits,Very Satisfied,4.1,3.9,3.6,4.4,3.1,Insurance Agencies & Brokerages,CA,24,4.3,100,10,Service
5237,Bond No 9,Satisfied,3.3,3.3,4,3.8,2.9,Beauty & Personal Accessories Stores,NY,24,3.5,0,0,Retail
5238,Koch Foods,OK,3,3,3.2,3.1,3.2,Food & Beverage Manufacturing,GA,24,3.3,70,16,Retail
5239,Nerium International,Very Satisfied,4.7,4.8,4.4,4.6,4.8,Consumer Products Manufacturing,TX,24,4.3,88,16,Manufacture
5240,Eide Bailly,Satisfied,4.3,3.7,3.3,3.6,3.7,Accounting,CO,24,3.7,100,14,Accounting
5241,Purity Cosmetics,Dissatisfied,2.5,2.2,2.2,2.5,2.6,Beauty & Personal Accessories Stores,CA,24,2.4,43,17,Retail
5242,Colonial Penn Life Insurance,Dissatisfied,2.2,2.1,2.9,1.8,2.9,Insurance Carriers,PA,24,2.2,59,5,Finance
5243,USA for Unhcr,Dissatisfied,2.5,2.2,2.3,2.2,2.6,Social Assistance,FL,24,2.4,37,7,Service
5244,United Wholesale Mortgage,OK,3.6,3.5,3.3,3.4,3.8,Lending,MI,24,3.4,82,13,Finance
5245,Thoratec Corp,OK,3,3,3.3,2.3,3.8,Health Care Products Manufacturing,CA,24,2.9,71,10,Health
5246,Culver Personnel Services,Satisfied,4.1,3.9,3.2,4,3.7,Advertising & Marketing,CA,24,3.8,86,14,Advertising
5247,Infogix,Dissatisfied,2.5,1.9,3.1,2.3,3.3,Computer Hardware & Software,IL,24,2.3,48,6,IT
5248,PSA Airlines,OK,2.6,2.4,2.7,2.8,2.8,Airlines,OH,24,2.9,34,15,Logistics
5249,CoWorx Staffing,Dissatisfied,1.7,1.6,1.8,1.7,1.8,Staffing & Outsourcing,AZ,24,2.1,26,5,Service
5250,Banco do Brasil,OK,3.1,2.6,2.9,2.6,3.5,Banks & Credit Unions,FL,24,3.2,94,10,Finance
5251,Remilon,OK,3.3,2.9,2.9,2.8,3.8,Internet,CA,24,3.1,61,6,IT
5252,Byram Healthcare,Dissatisfied,1.5,1.5,2.1,1.7,2.3,Health Care Services & Hospitals,NY,24,1.6,17,8,Health
5253,Response Mine Interactive,OK,3.8,3,3,3.1,3.8,Advertising & Marketing,GA,24,3.4,56,6,Advertising
5254,OEConnection,OK,3.8,2.9,3.7,3,4.2,Enterprise Software & Network Solutions,OH,24,3.4,74,6,IT
5255,Fusion Academy,OK,3.8,2.8,2.1,3.2,3,K-12 Education,CA,24,3,66,12,Education
5256,CompuSystems,OK,2.8,2.5,2.9,2.6,3.1,Consulting,IL,24,2.8,45,13,Service
5257,Cooper Lighting,OK,2.5,2.1,3.3,2.4,2.7,Electrical & Electronic Manufacturing,NY,24,2.6,46,6,Manufacture
5258,NRC (National Research Corporation),OK,3.3,2.5,2.7,3.3,3.6,Advertising & Marketing,NE,24,3.2,52,15,Advertising
5259,Endeavor Telecom,OK,2.7,3,3.5,2.8,2.5,Telecommunications Services,GA,24,2.9,78,12,IT
5260,Borgata Hotel Casino & Spa,Satisfied,3.7,3.4,3.9,3.3,3,Gambling,NJ,24,3.7,100,4,Entertainment
5261,Vinfen Corporation,OK,2.8,2.6,3.1,2.7,2.9,Industrial Manufacturing,MA,24,2.8,48,10,Manufacture
5262,Lotus Business Solutions,Very Satisfied,4.2,4.5,3.7,4.5,3.7,Advertising & Marketing,CO,24,4.3,100,16,Advertising
5263,Gaines Investment Trust,OK,3.6,3.1,3.7,3.6,3.3,Real Estate,TX,24,3.4,71,18,Real Estate
5264,New York Post,OK,2.5,2.4,2.8,3.1,3.4,Publishing,NY,24,2.9,23,9,Media
5265,SpaFinder,OK,2.5,2.1,2.2,2.4,2.8,Advertising & Marketing,NY,24,2.7,38,19,Advertising
5266,AMX,Satisfied,3.8,3.2,3.2,3.1,4,Computer Hardware & Software,TX,24,3.5,72,16,IT
5267,Prudential Douglas Elliman Real Estate,Satisfied,3.6,3.7,3.4,3.4,3.8,Real Estate,NY,24,3.8,100,11,Real Estate
5268,DRW Trading,OK,3.6,3.6,3.9,2.9,3.6,Investment Banking & Asset Management,IL,24,3.4,95,12,Finance
5269,Media Genesis,Dissatisfied,2.4,2,2.4,2.3,3,Internet,MI,24,2.3,16,6,IT
5270,Allyis,Satisfied,3.4,3.2,3.8,3.2,4.2,Staffing & Outsourcing,WA,24,3.6,0,1,Service
5271,Roper St. Francis Healthcare,OK,3.6,3,3.6,3.1,3.7,Health Care Services & Hospitals,SC,24,3.3,84,15,Health
5272,PCC Structurals,Dissatisfied,2,2,3.7,2.8,1.7,Aerospace & Defense,OR,24,2.4,17,16,Manufacture
5273,Children's Home + Aid,OK,2.7,2.1,2.8,2.4,2.7,Social Assistance,IL,24,2.8,30,7,Service
5274,Bayard Advertising,OK,2.6,2.4,2.4,2.8,3.6,Advertising & Marketing,NY,24,2.8,47,14,Advertising
5275,ANADIGICS,OK,2.5,2,3,2.2,2.9,Electrical & Electronic Manufacturing,NJ,24,2.5,10,9,Manufacture
5276,Help at Home,OK,3.5,3,3.3,3.4,3.9,"Health, Beauty, & Fitness",MO,24,3.3,86,11,Service
5277,Channelinsight,OK,2.7,2.4,3,2.7,2.5,Computer Hardware & Software,CO,24,3.1,47,9,IT
5278,Instrumentation Laboratory Company,OK,3.2,2.8,3.9,3.3,4,Health Care Products Manufacturing,MA,24,3.2,61,13,Health
5279,SAGE Publications,OK,3.7,3.2,3.8,3.2,3.2,Motion Picture Production & Distribution,CA,24,3.1,100,6,Media
5280,CenseoHealth,OK,2.8,3.1,3.2,2.6,3.3,Health Care Services & Hospitals,WI,24,2.9,0,1,Health
5281,Infocast,OK,2.2,2.2,2.2,2.6,2.8,Research & Development,CA,24,2.6,64,8,Research
5282,Oasis Outsourcing,OK,2.9,3,3.4,2.5,3.1,Staffing & Outsourcing,FL,24,2.8,84,17,Service
5283,OSF Healthcare System,OK,3.5,2.7,3.4,3.2,3.3,Health Care Services & Hospitals,IL,24,3.4,79,10,Health
5284,Blue Bell Creameries,OK,3.1,3,3.3,3,3.1,Food & Beverage Manufacturing,TX,24,3.1,89,10,Retail
5285,USF Reddaway,Dissatisfied,2.7,2.3,3.2,2.8,3.2,Trucking,NV,24,2.4,43,7,Logistics
5286,International Consulting Group (Omaha),Satisfied,3.7,3.8,3.6,3.9,2.2,Accounting,NE,24,3.6,0,0,Accounting
5287,e-Cycle,Dissatisfied,2.3,1.6,2.2,1.8,3.6,Business Service Centers & Copy Shops,OH,24,1.8,0,12,Service
5288,Channel Intelligence,OK,3.3,2.2,3.6,2.4,3.3,"Health, Beauty, & Fitness",FL,24,2.7,75,10,Service
5289,Lockerz,OK,2.8,2.7,3.9,2.9,3.3,Motion Picture Production & Distribution,WA,24,3,0,1,Media
5290,Mandee,OK,3.3,3,2.6,2.7,2.8,"Department, Clothing, & Shoe Stores",NY,24,2.9,18,6,Retail
5291,Green Key Resources,Very Satisfied,3.9,4.1,3.9,4.1,3.9,Staffing & Outsourcing,NY,24,4.1,94,10,Service
5292,Broward Health,OK,2.9,2.8,3.3,3,3.2,Health Care Services & Hospitals,FL,24,3.3,68,13,Health
5293,International Baccalaureate,Satisfied,4,2.9,3.2,3.3,3.7,K-12 Education,MD,24,3.8,88,7,Education
5294,Maker Studios,Dissatisfied,1.8,1.7,2,2.4,2.5,Motion Picture Production & Distribution,AZ,24,2.1,7,12,Media
5295,Silpada Designs,Satisfied,4.4,4.2,3.8,3.9,4.3,Beauty & Personal Accessories Stores,CO,24,3.9,100,8,Retail
5296,Marc Ecko Enterprises,OK,2.8,2.6,3,2.8,3.3,Consumer Products Manufacturing,NY,24,3,69,6,Manufacture
5297,The New England Center for Children,OK,3.2,2.7,3.4,3.3,2.7,Preschool & Child Care,MA,24,2.9,50,16,Service
5298,Carleton College,Very Satisfied,4.1,3.7,3.4,3.5,3.8,Colleges & Universities,MN,24,4.3,80,5,Education
5299,Ricardo,OK,2.7,1.8,2.8,2.9,3,Research & Development,IL,24,2.7,31,15,Research
5300,Lincoln Center,OK,2.5,2.3,2.6,2.6,3.1,"Museums, Zoos & Amusement Parks",NY,24,2.8,44,16,Entertainment
5301,Ombudsman Educational Services,Dissatisfied,2.3,2.1,1.5,1.8,3.1,Colleges & Universities,NV,24,2,0,7,Education
5302,Accolo,Satisfied,3.8,3.5,3.4,3.5,4.1,Staffing & Outsourcing,CA,24,3.8,63,6,Service
5303,Godfather's Pizza,Satisfied,2.3,3,2.7,2.9,3.3,Fast-Food & Quick-Service Restaurants,NE,24,3.5,50,9,Service
5304,Sterling-Rice,OK,3.4,2.6,3.2,3.2,3.5,Advertising & Marketing,CO,24,3.3,42,12,Advertising
5305,Breg,Dissatisfied,1.7,1.7,2.4,2.1,2,Health Care Products Manufacturing,CA,24,2,36,19,Health
5306,ACS International,OK,2.8,2.5,2.7,2.6,2.8,IT Services,NC,24,2.6,59,7,IT
5307,Urban Active Fitness,Dissatisfied,1.7,2.3,2.5,2.6,2.5,Education Training Services,OH,24,2.3,44,4,Education
5308,Appalachian Underwriters,OK,2.5,2.6,2.6,2.9,2.9,Insurance Agencies & Brokerages,TN,24,2.7,72,14,Service
5309,Comau,Dissatisfied,1.9,1.9,2.9,2.4,2.1,Industrial Manufacturing,MI,24,2.4,63,9,Manufacture
5310,GasPedal,Satisfied,4,3.7,3.8,3.6,4.1,Membership Organizations,TX,24,4,75,16,Others
5311,Boston Properties,OK,3,3,3.7,3.2,3.4,Real Estate,MA,24,3.2,81,5,Real Estate
5312,DineEquity,Dissatisfied,2.1,2,3.1,2.2,2.3,Casual Restaurants,CA,24,2.4,43,14,Service
5313,John Deere Landscapes,OK,3,2.6,3.2,2.7,3.3,Wholesale,MA,24,3.1,0,1,Retail
5314,SoftwareONE,OK,3.3,2.9,3.3,3.4,3.3,Computer Hardware & Software,PA,24,3.2,80,12,IT
5315,Explore Consulting,Satisfied,3.8,3.8,3.9,3.9,4,IT Services,WA,24,3.8,81,18,IT
5316,FJC Security,OK,2.2,2.3,2.5,2.5,2.9,Security Services,NY,24,2.7,65,15,Finance
5317,Woodmen of the World Life Insurance,OK,3.8,3.2,3.3,2.9,3.5,Insurance Carriers,NE,24,3.2,89,10,Finance
5318,Club One,OK,2.7,2.4,2.4,2.6,3.1,"Health, Beauty, & Fitness",CA,24,2.7,81,8,Service
5319,PSPSports,Dissatisfied,2.2,2.4,3,1.9,2.7,Publishing,NY,24,2.1,31,9,Media
5320,WellDyne,Dissatisfied,2.1,1.8,2.3,2.1,2.6,Wholesale,FL,24,1.9,29,12,Retail
5321,Argon ST,OK,2.5,2.9,3.6,2.9,3.7,Aerospace & Defense,VA,24,3.2,54,5,Manufacture
5322,iTalent,Very Satisfied,4.6,4.7,4.6,4.5,4.5,Consulting,NC,24,4.9,100,15,Service
5323,John Perez Graphics & Design,OK,2.9,2.8,3.1,2.9,2.6,Advertising & Marketing,TX,24,3,57,20,Advertising
5324,Addepar,Very Satisfied,4.8,4.3,4.4,4.7,4,Computer Hardware & Software,CA,24,4.9,100,7,IT
5325,California Public Utilities Commission,Satisfied,3.5,3.1,3,3.4,4.3,State & Regional Agencies,CA,23,3.5,87,13,Service
5326,Arbella Insurance,OK,3.3,2.6,3.1,2.7,3.9,Insurance Carriers,MA,23,2.8,66,15,Finance
5327,Douglas Emmett,OK,2.8,2.9,2.5,3,3,Real Estate,CA,23,2.8,53,17,Real Estate
5328,Xavier University,Satisfied,3.8,3.3,3.3,3.1,3.6,Colleges & Universities,OH,23,3.9,96,12,Education
5329,K2 Consultants,Satisfied,4,4.1,3.2,4,2.8,Advertising & Marketing,CT,23,3.7,88,20,Advertising
5330,Sonny's Real PIT BAR B Q,Satisfied,3.6,3.3,2.5,2.9,3.8,Casual Restaurants,FL,23,3.8,66,6,Service
5331,Weir Group,OK,2.5,2.6,3.2,2.9,2.6,Industrial Manufacturing,PA,23,2.8,64,8,Manufacture
5332,La Jolla Institute for Allergy and Immunology,Very Satisfied,4.2,3.9,3.6,3.5,4,Biotech & Pharmaceuticals,CA,23,4.2,100,16,Health
5333,"ContextMedia, Inc.",Very Satisfied,4.9,4.7,4.1,4.5,4.2,Motion Picture Production & Distribution,IL,23,4.8,97,15,Media
5334,Mavens Consulting,Very Satisfied,4.9,4.7,4.5,4.6,4.4,IT Services,IL,23,4.9,100,20,IT
5335,Arlington Public Schools,OK,3.6,3,3.8,3.2,3.6,Federal Agencies,VA,23,3.4,48,6,Government
5336,MotionPoint,Satisfied,4.5,4,3.7,3.9,3.6,Computer Hardware & Software,FL,23,4,90,13,IT
5337,Frontline Performance Group,Very Satisfied,4.2,4.1,3.8,4.1,4.1,Consulting,FL,23,4.2,91,15,Service
5338,Black Diamond Performance Reporting,Satisfied,3.7,3.2,3.4,3,3.7,Computer Hardware & Software,FL,23,3.5,76,8,IT
5339,Multimedia Games,OK,3.4,2.7,3.6,2.9,4,Industrial Manufacturing,TX,23,3.3,81,11,Manufacture
5340,3Com,Satisfied,3.3,2.7,3.9,3,3.9,Enterprise Software & Network Solutions,PA,23,3.5,79,13,IT
5341,Southern Graphic Systems,Dissatisfied,2.4,1.9,2.9,2.1,2.5,Advertising & Marketing,GA,23,2.4,42,9,Advertising
5342,School of Visual Arts,OK,3.2,2.2,2.7,2.3,3.3,Colleges & Universities,NY,23,3.2,70,10,Education
5343,Precision Drilling,OK,2.8,2.4,3.8,2.9,2.5,Oil & Gas Exploration & Production,ND,23,3,65,11,Manufacture
5344,L7 Creative Communications,OK,4.1,3.3,3,3.1,3.6,Advertising & Marketing,CA,23,3.4,84,10,Advertising
5345,American Cybersystems,OK,2.7,2.8,2.8,3,2.9,IT Services,GA,23,2.7,52,13,IT
5346,IPC International,OK,2.7,2.7,2.4,2.5,2.7,Consulting,TX,23,2.9,62,10,Service
5347,CareersUSA,Dissatisfied,1.9,2,2.2,2.2,2.5,Staffing & Outsourcing,FL,23,1.7,35,11,Service
5348,Minerva Networks,OK,3.3,2.9,3,3.2,3.5,Computer Hardware & Software,CA,23,3.3,64,20,IT
5349,Nixon Peabody,Satisfied,3.6,3.1,3.9,3.3,3.3,Legal,NY,23,3.7,89,6,Others
5350,Bosch Rexroth,Satisfied,3.3,3.4,3.4,3.2,3.6,Industrial Manufacturing,MI,23,3.5,86,13,Manufacture
5351,Westcon Group,OK,3.2,3.1,3,2.9,3.4,Wholesale,NY,23,3.3,98,5,Retail
5352,Ameripark,OK,3.3,2.9,3,2.9,3.5,Parking Lots & Garages,GA,23,3.3,79,14,Service
5353,Prosper.com,Very Satisfied,3.4,4,4.1,3.8,3.7,Lending,CA,23,4.1,80,10,Finance
5354,BroadPath Healthcare,Satisfied,3.6,3.5,3.6,3.6,3.6,Consulting,MT,23,3.8,93,11,Service
